instance,solution
100_20_01,1821362.2
100_20_02,1841045.8
100_20_03,1693831.8
100_20_04,1982792.8
100_20_05,1569908.2
100_20_06,1699260.0
100_20_07,1806403.4
100_20_08,1796916.4
100_20_09,1866381.8
100_20_10,1688960.6
100_20_11,1859442.0
100_20_12,1729144.6
100_20_13,1751398.2
100_20_14,1737418.6
100_20_15,1485172.0
100_20_16,1885331.4
100_20_17,1801162.4
100_20_18,1845310.6
100_20_19,1712026.0
100_20_20,1830630.8
100_20_21,1746065.6
100_20_22,1768424.8
100_20_23,1827140.6
100_20_24,1725418.8
100_20_25,1745461.0
100_20_26,1595415.8
100_20_27,1900394.6
100_20_28,1773718.6
100_20_29,2044212.6
100_20_30,1797210.6
