instance,solution
100_20_01,2252831.0
100_20_02,2239075.0
100_20_03,2185550.6
100_20_04,2432691.2
100_20_05,1955853.4
100_20_06,2169194.2
100_20_07,2290686.2
100_20_08,2276489.6
100_20_09,2218454.2
100_20_10,2061514.8
100_20_11,2286329.0
100_20_12,2178278.4
100_20_13,2158516.4
100_20_14,2216600.8
100_20_15,1877812.4
100_20_16,2307359.4
100_20_17,2272754.4
100_20_18,2383979.8
100_20_19,2136744.4
100_20_20,2273639.8
100_20_21,2133110.4
100_20_22,2157167.0
100_20_23,2246056.0
100_20_24,2185924.2
100_20_25,2184475.4
100_20_26,2000066.0
100_20_27,2339387.0
100_20_28,2272633.4
100_20_29,2480762.4
100_20_30,2246447.6
50_20_01,654160.2
50_20_02,686889.0
50_20_03,667005.2
50_20_04,740526.8
50_20_05,730144.4
50_20_06,703459.0
50_20_07,621950.2
50_20_08,588717.8
50_20_09,639771.0
50_20_10,674769.0
50_20_11,655417.8
50_20_12,670856.8
50_20_13,606079.2
50_20_14,646784.0
50_20_15,643165.8
50_20_16,606773.8
50_20_17,705978.4
50_20_18,695785.2
50_20_19,515308.6
50_20_20,621918.4
50_20_21,682459.6
50_20_22,701630.2
50_20_23,659019.2
50_20_24,611204.2
50_20_25,648624.4
50_20_26,664158.0
50_20_27,615308.6
50_20_28,617329.4
50_20_29,599177.0
50_20_30,558317.4
