instance,solution
100_20_01,1840011.0
100_20_02,1866049.6
100_20_03,1732774.6
100_20_04,2012247.0
100_20_05,1605888.6
100_20_06,1711661.2
100_20_07,1846609.6
100_20_08,1819901.6
100_20_09,1915056.2
100_20_10,1711186.4
100_20_11,1876500.0
100_20_12,1747870.2
100_20_13,1781198.0
100_20_14,1777036.2
100_20_15,1509563.0
100_20_16,1916726.4
100_20_17,1839128.0
100_20_18,1902449.4
100_20_19,1752734.0
100_20_20,1861044.6
100_20_21,1786447.0
100_20_22,1805150.8
100_20_23,1848291.0
100_20_24,1764944.2
100_20_25,1771755.2
100_20_26,1628236.8
100_20_27,1929484.0
100_20_28,1817968.4
100_20_29,2085106.2
100_20_30,1836277.4
50_20_01,606392.4
50_20_02,637206.4
50_20_03,602577.4
50_20_04,681971.0
50_20_05,670565.4
50_20_06,659701.6
50_20_07,576564.0
50_20_08,544892.8
50_20_09,588840.2
50_20_10,611353.0
50_20_11,616376.4
50_20_12,594955.0
50_20_13,565674.4
50_20_14,585472.8
50_20_15,607621.8
50_20_16,561697.4
50_20_17,662432.2
50_20_18,641475.8
50_20_19,473727.4
50_20_20,578844.6
50_20_21,641991.4
50_20_22,656157.8
50_20_23,616329.2
50_20_24,561737.0
50_20_25,601371.6
50_20_26,610183.6
50_20_27,575033.4
50_20_28,559031.8
50_20_29,555944.8
50_20_30,520050.8
