instance,solution
100_20_01,1861885.0
100_20_02,1859325.0
100_20_03,1817451.0
100_20_04,2001647.0
100_20_05,1618878.0
100_20_06,1717737.0
100_20_07,1841406.0
100_20_08,1803533.0
100_20_09,1893971.0
100_20_10,1796368.0
100_20_11,1882893.0
100_20_12,1768318.0
100_20_13,1886725.0
100_20_14,1770530.0
100_20_15,1689577.0
100_20_16,1886855.0
100_20_17,1840702.0
100_20_18,1897291.0
100_20_19,1759250.0
100_20_20,1855337.0
100_20_21,1786989.0
100_20_22,1799954.0
100_20_23,1889433.0
100_20_24,1822336.0
100_20_25,1794067.0
100_20_26,1719884.4
100_20_27,1928315.0
100_20_28,1788342.0
100_20_29,2059296.0
100_20_30,1828843.0
50_20_01,616002.0
50_20_02,668287.0
50_20_03,617349.0
50_20_04,691747.0
50_20_05,675912.0
50_20_06,669682.0
50_20_07,582314.0
50_20_08,539980.0
50_20_09,599902.0
50_20_10,613450.0
50_20_11,628902.0
50_20_12,599759.0
50_20_13,565246.0
50_20_14,587634.0
50_20_15,609502.0
50_20_16,564236.0
50_20_17,698853.0
50_20_18,645792.0
50_20_19,494614.0
50_20_20,583618.0
50_20_21,644476.0
50_20_22,661875.0
50_20_23,672961.0
50_20_24,590600.0
50_20_25,604263.0
50_20_26,616226.0
50_20_27,599455.0
50_20_28,585197.0
50_20_29,565640.0
50_20_30,525470.0
