instance,solution
100_20_01,1857263.4
100_20_02,1874343.0
100_20_03,1751894.8
100_20_04,2020889.4
100_20_05,1621598.0
100_20_06,1727489.6
100_20_07,1863257.8
100_20_08,1835588.4
100_20_09,1947334.4
100_20_10,1738114.8
100_20_11,1914831.6
100_20_12,1768799.6
100_20_13,1790707.8
100_20_14,1786879.0
100_20_15,1517211.4
100_20_16,1936480.2
100_20_17,1859269.2
100_20_18,1918868.4
100_20_19,1759393.0
100_20_20,1875381.6
100_20_21,1801789.8
100_20_22,1820453.2
100_20_23,1873634.8
100_20_24,1781599.2
100_20_25,1789923.8
100_20_26,1644713.6
100_20_27,1954458.6
100_20_28,1827613.8
100_20_29,2098876.0
100_20_30,1841309.4
50_20_01,615490.2
50_20_02,649064.0
50_20_03,612160.4
50_20_04,689322.6
50_20_05,694034.0
50_20_06,676123.4
50_20_07,586222.6
50_20_08,547167.2
50_20_09,594180.0
50_20_10,618734.2
50_20_11,621337.2
50_20_12,599876.8
50_20_13,581945.2
50_20_14,596886.4
50_20_15,620596.2
50_20_16,566881.2
50_20_17,665828.0
50_20_18,648194.0
50_20_19,480316.2
50_20_20,584166.2
50_20_21,644440.6
50_20_22,671741.0
50_20_23,622670.8
50_20_24,572546.4
50_20_25,611451.0
50_20_26,621649.2
50_20_27,580596.8
50_20_28,565054.8
50_20_29,569306.4
50_20_30,527948.2
