"times","results"
1,649903
2,645908
3,645059
4,645059
5,645059
6,645059
7,645059
8,645059
9,643727
10,635000
11,634853
12,634778
13,634778
14,634739
15,634579
16,634444
17,634444
18,634396
19,634396
20,634396
21,634396
22,634396
23,634396
24,634396
25,634396
26,634396
27,634330
28,634330
29,634321
30,634321
31,634312
32,634312
33,634311
34,634311
35,634297
36,634297
37,634297
38,634297
39,634297
40,634297
41,634297
42,634297
43,634297
44,634297
45,634297
46,634297
47,634297
48,634297
49,634297
50,634297
51,634297
52,634297
53,634297
54,634297
55,634297
56,634297
57,634297
58,634297
59,634297
60,634297
61,634297
62,634297
63,634297
64,634297
65,634297
66,634297
67,634297
68,634297
69,634297
70,634297
71,634297
72,634297
73,634297
74,634297
75,634297
76,634297
77,634249
78,634004
79,633915
80,633914
81,633625
82,633436
83,633436
84,633436
85,633436
86,633436
87,633436
88,633436
89,633436
90,633436
91,633436
92,633436
93,633436
94,633436
95,633436
96,633436
97,633436
98,633436
99,633436
100,633436
101,633436
102,633436
103,633436
104,633436
105,633436
106,633436
107,633436
108,633436
109,633436
110,633436
111,633436
112,632767
113,631581
114,631538
115,631538
116,631431
117,631369
118,631369
119,631369
120,631369
121,631369
122,631369
123,631369
124,631369
125,631369
126,631369
127,631369
128,631369
129,631369
130,631369
131,631369
132,631369
133,631369
134,631369
135,631369
136,631369
137,631369
138,631369
139,631369
140,631369
141,631369
142,631369
143,631369
144,631369
145,631369
146,631369
147,631369
148,631369
149,631369
150,631369
151,631369
152,631369
153,631369
154,631369
155,631369
156,631369
157,631369
158,631369
159,631369
160,631369
161,631369
162,631369
163,631369
164,631369
165,631369
166,631369
167,631369
168,631369
169,631369
170,631369
171,631369
172,631369
173,631369
174,631369
175,631369
176,631369
177,631369
178,631369
179,631369
180,631369
181,631369
182,631369
183,631369
184,631369
185,631369
186,631369
187,631369
188,631369
189,631369
190,631369
191,631369
192,631369
193,631369
194,631369
195,631369
196,631369
197,631369
198,631369
199,631369
200,631369
201,631369
202,631369
203,631369
204,631369
205,631369
206,631369
207,631369
208,631369
209,631369
210,631369
211,631369
212,631369
213,631369
214,631369
215,631369
216,631369
217,631369
218,631369
219,631369
220,631369
221,631369
222,631369
223,631369
224,631369
225,631369
226,631369
227,631369
228,631369
229,631369
230,631369
231,631369
232,631369
233,631369
234,631369
235,631369
236,631369
237,631369
238,631369
239,631369
240,631369
241,631369
242,631369
243,631369
244,631369
245,631369
246,631369
247,631369
248,631369
249,631369
250,631111
251,631111
252,631098
253,631098
254,630988
255,630988
256,630980
257,630915
258,630915
259,630909
260,630909
261,630829
262,630829
263,630821
264,630821
265,630779
266,630765
267,630765
268,630744
269,630744
270,630744
271,630744
272,630744
273,630744
274,630744
275,630744
276,630744
277,630744
278,630744
279,630744
280,630744
281,630744
282,630744
283,630744
284,630744
285,630744
286,630744
287,630744
288,630744
289,630744
290,630744
291,630744
292,630744
293,630744
294,630744
295,630744
296,630744
297,630744
298,630744
299,630744
300,630744
301,630744
302,630744
303,630744
304,630744
305,630744
306,630744
307,630744
308,630744
309,630744
310,630744
311,630744
312,630744
313,630744
314,630744
315,629885
316,628835
317,628498
318,628498
319,628263
320,628045
321,628003
322,627952
323,627952
324,627933
325,627933
326,627933
327,627933
328,627933
329,627933
330,627933
331,627933
332,627933
333,627933
334,627933
335,627933
336,627933
337,627933
338,627933
339,627933
340,627933
341,627933
342,627933
343,627933
344,627933
345,627933
346,627933
347,627933
348,627933
349,627933
350,627933
351,627933
352,627933
353,627933
354,627933
355,627933
356,627933
357,627933
358,627933
359,627933
360,627933
361,627933
362,627933
363,627933
364,627933
365,627933
366,627933
367,627933
368,627933
369,627933
370,627933
371,627933
372,627933
373,627933
374,627933
375,627933
376,627933
377,627933
378,627933
379,627933
380,627933
381,627933
382,627933
383,627933
384,627933
385,627933
386,627933
387,627933
388,627933
389,627933
390,627933
391,627933
392,627933
393,627933
394,627933
395,627933
396,627933
397,627933
398,627933
399,627933
400,627933
401,627933
402,627933
403,627933
404,627933
405,627933
406,627933
407,627933
408,627933
409,627933
410,627933
411,627933
412,627933
413,627933
414,627933
415,627933
416,627933
417,627933
418,627933
419,627933
420,627933
421,627933
422,627933
423,627933
424,627933
425,627933
426,627933
427,627933
428,627933
429,627933
430,627933
431,627933
432,627933
433,627933
434,627933
435,627933
436,627933
437,627933
438,627933
439,627933
440,627933
441,627933
442,627933
443,627933
444,627933
445,627933
446,627933
447,627933
448,627933
449,627933
450,627933
451,627933
452,627933
453,627933
454,627933
455,627933
456,627933
457,627933
458,627933
459,627933
460,627933
461,627933
462,627933
463,627933
464,627933
465,627933
466,627933
467,627933
468,627933
469,627933
470,627933
471,627933
472,627933
473,627933
474,627933
475,627933
476,627933
477,627933
478,627933
479,627933
480,627933
481,627933
482,627933
483,627933
484,627933
485,627933
486,627933
487,627933
488,627933
489,627933
490,627933
491,627933
492,627933
493,627933
494,627933
495,627933
496,627933
497,627933
498,627933
499,627933
500,627933
501,627933
502,627933
503,627933
504,627933
505,627933
506,627933
507,627933
508,627933
509,627933
510,627933
511,627933
512,627933
513,627933
514,627933
515,627933
516,627933
517,627933
518,627933
519,627933
520,627933
521,627933
522,627933
523,627933
524,627933
525,627933
526,627933
527,627933
528,627933
529,627933
530,627933
531,627933
532,627933
533,627933
534,627933
535,627933
536,627933
537,627933
538,627933
539,627933
540,627933
541,627933
542,627933
543,627884
544,627884
545,627867
546,627867
547,627867
548,627867
549,627867
550,627867
551,627867
552,627867
553,627867
554,627867
555,627867
556,627867
557,627867
558,627867
559,627867
560,627867
561,627867
562,627867
563,627867
564,627867
565,627867
566,627867
567,627867
568,627867
569,627867
570,627867
571,627867
572,627867
573,627867
574,627867
575,627867
576,627867
577,627867
578,627867
579,627867
580,627867
581,627867
582,627867
583,627867
584,627867
585,627867
586,627867
587,627867
588,627867
589,627867
590,627867
591,627867
592,627867
593,627867
594,627867
595,627867
596,627867
597,627867
598,627867
599,627867
600,627867
601,627867
602,627867
603,627867
604,627867
605,627867
