"Instance","Percentage deviation"
"100_20_01","1.57422256446312"
"100_20_02","1.62475561397502"
"100_20_03","0.767804843203083"
"100_20_04","1.85925247494185"
"100_20_05","2.13484591544354"
"100_20_06","2.29682089453367"
"100_20_07","1.628982159477"
"100_20_08","1.99140481170952"
"100_20_09","0.681834378948053"
"100_20_10","2.03763696711584"
"100_20_11","2.37526840279689"
"100_20_12","1.01278321122679"
"100_20_13","2.06659154732227"
"100_20_14","1.6126831836663"
"100_20_15","2.22467118428862"
"100_20_16","2.186064136154"
"100_20_17","1.31409445053863"
"100_20_18","1.11099171605419"
"100_20_19","2.16720076862942"
"100_20_20","1.42704118727696"
"100_20_21","2.28287071709418"
"100_20_22","1.7114200367647"
"100_20_23","2.64460204885737"
"100_20_24","1.92878453985266"
"100_20_25","2.05252654918893"
"100_20_26","1.7683151118831"
"100_20_27","1.69484899256777"
"100_20_28","1.77048234146566"
"100_20_29","2.65274591789101"
"100_20_30","1.5057527747183"
"50_20_01","1.28296878674865"
"50_20_02","1.22228613848978"
"50_20_03","0.680731174451071"
"50_20_04","1.11208617790319"
"50_20_05","1.11217166247546"
"50_20_06","0.596741147904387"
"50_20_07","1.41817377846562"
"50_20_08","1.23432381689806"
"50_20_09","1.20094902731683"
"50_20_10","0.620687933287282"
"50_20_11","0.831446765694911"
"50_20_12","0.541527801314274"
"50_20_13","1.01205736078776"
"50_20_14","0.918014360664215"
"50_20_15","0.882445815025337"
"50_20_16","0.837089994793589"
"50_20_17","0.656717709679207"
"50_20_18","0.691129285639482"
"50_20_19","0.477886523969508"
"50_20_20","0.877291062203674"
"50_20_21","1.71987603272347"
"50_20_22","1.27185816582798"
"50_20_23","1.27365003916778"
"50_20_24","0.783325458077396"
"50_20_25","1.07816757435257"
"50_20_26","0.931007369697624"
"50_20_27","0.587248322147651"
"50_20_28","0.580492498303952"
"50_20_29","0.926035980512997"
"50_20_30","0.458199956795823"
