"Instance","Percentage deviation"
"100_20_01","33.1955627723745"
"100_20_02","31.126484265406"
"100_20_03","35.9516036859776"
"100_20_04","31.9218412332517"
"100_20_05","34.1133007166572"
"100_20_06","34.7400167416427"
"100_20_07","35.3294721851557"
"100_20_08","34.7785599069805"
"100_20_09","29.9133453552031"
"100_20_10","33.1588908901432"
"100_20_11","30.962330011562"
"100_20_12","34.4468281511083"
"100_20_13","32.7529760688451"
"100_20_14","34.589814841899"
"100_20_15","38.9061374332363"
"100_20_16","32.0559188445965"
"100_20_17","34.0488510111664"
"100_20_18","33.8276215590923"
"100_20_19","37.0102822087354"
"100_20_20","32.1558023499115"
"100_20_21","31.9057877738251"
"100_20_22","29.4339039522059"
"100_20_23","32.8093774625689"
"100_20_24","37.8672228097435"
"100_20_25","34.82589567044"
"100_20_26","38.3245248799428"
"100_20_27","30.9776710916355"
"100_20_28","36.852954247687"
"100_20_29","29.1576273823806"
"100_20_30","32.5199582027168"
"50_20_01","19.8677552666062"
"50_20_02","21.6135501058903"
"50_20_03","21.9540949312099"
"50_20_04","22.2333829867346"
"50_20_05","19.755838641189"
"50_20_06","19.6662490245518"
"50_20_07","23.3679239442848"
"50_20_08","20.7111109440572"
"50_20_09","21.7701908354967"
"50_20_10","22.1666319898133"
"50_20_11","17.9049500887018"
"50_20_12","22.3280423280423"
"50_20_13","19.9386170723532"
"50_20_14","25.8289496189921"
"50_20_15","19.0996156998697"
"50_20_16","21.8681416362657"
"50_20_17","20.3478013588116"
"50_20_18","20.2773784247825"
"50_20_19","22.1249044055097"
"50_20_20","21.3867029934187"
"50_20_21","18.6931971743229"
"50_20_22","17.3229329076067"
"50_20_23","18.7882549756363"
"50_20_24","20.1430943057373"
"50_20_25","21.6440737351644"
"50_20_26","18.8585297919693"
"50_20_27","23.2589000666884"
"50_20_28","22.2425605983169"
"50_20_29","20.3959764042965"
"50_20_30","23.4286050941655"
