"Instance","Percentage deviation"
"100_20_01","3.38163393988093"
"100_20_02","3.09345763423282"
"100_20_03","3.90983879800939"
"100_20_04","3.58549612036141"
"100_20_05","4.79630171075115"
"100_20_06","4.19712983204158"
"100_20_07","3.71687280637818"
"100_20_08","4.10543354973297"
"100_20_09","4.66172834173785"
"100_20_10","4.56663875619702"
"100_20_11","5.17374883003909"
"100_20_12","2.77073182131547"
"100_20_13","4.27659487514815"
"100_20_14","4.32280106473221"
"100_20_15","4.53463433484687"
"100_20_16","4.42740835372323"
"100_20_17","4.10960537788653"
"100_20_18","5.02617858454723"
"100_20_19","4.61999988064761"
"100_20_20","3.90997741110131"
"100_20_21","4.96636865755476"
"100_20_22","4.41862362132352"
"100_20_23","5.2220983901835"
"100_20_24","5.02682838929228"
"100_20_25","4.10748045279496"
"100_20_26","4.88156483089812"
"100_20_27","4.42302487433948"
"100_20_28","5.36776733099002"
"100_20_29","5.03681803807793"
"100_20_30","3.7556327487362"
"50_20_01","3.15240399153311"
"50_20_02","3.90473405298052"
"50_20_03","3.16088705935942"
"50_20_04","2.9275705385819"
"50_20_05","4.74849636251276"
"50_20_06","3.83703252323199"
"50_20_07","2.9318593853637"
"50_20_08","2.56960666946065"
"50_20_09","3.23248899697449"
"50_20_10","2.64926720873524"
"50_20_11","2.48523843567135"
"50_20_12","2.0126361051628"
"50_20_13","3.81864135013453"
"50_20_14","3.47706796706193"
"50_20_15","3.35540371669287"
"50_20_16","2.42150920737316"
"50_20_17","1.99203753732404"
"50_20_18","2.34559320581542"
"50_20_19","2.61250075186678"
"50_20_20","2.83454815653528"
"50_20_21","3.81145969040548"
"50_20_22","3.67161169254324"
"50_20_23","2.72508198680244"
"50_20_24","2.7479030999542"
"50_20_25","3.72410884066795"
"50_20_26","3.29674027479776"
"50_20_27","2.6088298310087"
"50_20_28","2.46831172279828"
"50_20_29","4.01358073604508"
"50_20_30","3.2480116258518"
